연도,작목군,작목명,지역,면적,생산량
2024,특약용작물,감초,대전,0.0,0.0
2024,특약용작물,감초,부산,0.0,0.0
2024,특약용작물,감초,서울,0.0,0.0
2024,특약용작물,감초,세종,0.0,0.0
2024,특약용작물,감초,울산,0.0,0.0
2024,특약용작물,감초,인천,0.0,0.0
2024,특약용작물,감초,전국,40.0,240.0
2024,특약용작물,감초,전남,0.0,7.0
2024,특약용작물,감초,전북,1.0,0.0
2024,특약용작물,감초,제주,0.0,0.0
2024,특약용작물,감초,충남,0.0,0.0
2024,특약용작물,감초,충북,29.0,197.0
2020,특약용작물,강활,강원,7.0,22.0
2020,특약용작물,강활,경기,0.0,0.0
2020,특약용작물,강활,경남,0.0,0.0
2020,특약용작물,강활,경북,30.0,105.0
2020,특약용작물,강활,광주,0.0,0.0
2020,특약용작물,강활,대구,0.0,0.0
2020,특약용작물,강활,대전,0.0,0.0
2020,특약용작물,강활,부산,0.0,0.0
2020,특약용작물,강활,서울,0.0,0.0
2020,특약용작물,강활,세종,0.0,0.0
2020,특약용작물,강활,울산,0.0,0.0
2020,특약용작물,강활,인천,0.0,0.0
2020,특약용작물,강활,전남,0.0,0.0
2020,특약용작물,강활,전북,0.0,0.0
2020,특약용작물,강활,제주,0.0,0.0
2020,특약용작물,강활,충남,0.0,0.0
2020,특약용작물,강활,충북,0.0,0.0
2020,특약용작물,강활,전국,37.0,127.0
2021,특약용작물,강활,강원,7.0,20.0
2021,특약용작물,강활,경기,0.0,0.0
2021,특약용작물,강활,경남,0.0,0.0
2021,특약용작물,강활,경북,36.0,119.0
2021,특약용작물,강활,광주,0.0,0.0
2021,특약용작물,강활,대구,0.0,0.0
2021,특약용작물,강활,대전,0.0,0.0
2021,특약용작물,강활,부산,0.0,0.0
2021,특약용작물,강활,서울,0.0,0.0
2021,특약용작물,강활,세종,0.0,0.0
2021,특약용작물,강활,울산,0.0,0.0
2021,특약용작물,강활,인천,0.0,0.0
2021,특약용작물,강활,전남,0.0,0.0
2021,특약용작물,강활,전북,0.0,0.0
2021,특약용작물,강활,제주,0.0,0.0
2021,특약용작물,강활,충남,0.0,0.0
2021,특약용작물,강활,충북,0.0,0.0
2021,특약용작물,강활,전국,43.0,139.0
2022,특약용작물,강활,강원,5.0,16.0
2022,특약용작물,강활,경기,0.0,0.0
2022,특약용작물,강활,경남,0.0,0.0
2022,특약용작물,강활,경북,35.0,113.0
2022,특약용작물,강활,광주,0.0,0.0
2022,특약용작물,강활,대구,0.0,0.0
2022,특약용작물,강활,대전,0.0,0.0
2022,특약용작물,강활,부산,0.0,0.0
2022,특약용작물,강활,서울,0.0,0.0
2022,특약용작물,강활,세종,0.0,0.0
2022,특약용작물,강활,울산,0.0,0.0
2022,특약용작물,강활,인천,0.0,0.0
2022,특약용작물,강활,전남,0.0,0.0
2022,특약용작물,강활,전북,0.0,0.0
2022,특약용작물,강활,제주,0.0,0.0
2022,특약용작물,강활,충남,0.0,0.0
